Key,pt,en
npc_dialogue_1,Prepare-se para uma viagem entre trilhos e estações do ano.,Get ready for a journey between trails and seasons.
npc_dialogue_2,"Você é o operador de um trem muito especial — uma locomotiva projetada para atravessar, em uma única jornada, as quatro estações do ano, parando em diversas estações de trem ao longo do caminho.","You are the operator of a very special train — a locomotive designed to travel through all four seasons in a single journey, stopping at several train stations along the way."
npc_dialogue_3,Cada estação traz seus próprios desafios:,Each season brings its own challenges:
npc_dialogue_4,O calor intenso do verão,The intense heat of summer
npc_dialogue_5,Os ventos traiçoeiros do outono,The treacherous winds of autumn
npc_dialogue_6,O frio cortante do inverno,The biting cold of winter
npc_dialogue_7,E os efeitos imprevisíveis da primavera,And the unpredictable effects of spring
npc_dialogue_8,Mas antes de começarmos...,But before we begin...
npc_dialogue_9,"Como devo te chamar, maquinista?","What should I call you, engineer?"
npc_dialogue_10,(Digite seu nome para o registro de bordo.),(Enter your name for the logbook.)
npc_dialogue_11,Seu dever é simples... mas essencial:,Your duty is simple... but essential:
npc_dialogue_12,Mantenha o trem nos trilhos,Keep the train on the tracks
npc_dialogue_13,Controle a velocidade conforme o terreno e o clima,Control speed according to terrain and weather
npc_dialogue_14,Regule a temperatura interna para o conforto dos passageiros,Regulate the interior temperature for passenger comfort
npc_dialogue_15,A paisagem vai mudar.,The landscape will change.
npc_dialogue_16,O clima vai testar seus reflexos.,The weather will test your reflexes.
npc_dialogue_17,E cada nova parada será... a próxima estação.,And each new stop will be... the next station.
npc_dialogue_18,"Boa viagem, maquinista.","Have a good trip, driver."
main_menu_play,Jogar,Play
main_menu_options,Opções,Options
main_menu_credits,Créditos,Credits
main_menu_quit,Sair,Quit
option_menu_language,Idioma,Language
